filing_id,ticker,company_name,filing_type,filing_date,period_end_date,filing_title,section_text,item_type,pages_count,file_size_kb,_loaded_at
SF-001,AAPL,Apple Inc.,10-K,2024-11-01,2024-09-28,Apple Inc. Annual Report 2024 - Risk Factors,"Our business faces substantial risks from global supply chain disruption and geopolitical instability. Prolonged litigation in patent disputes and ongoing antitrust investigations in the European Union may adversely affect our operations and financial results. We rely heavily on third-party component suppliers and any cybersecurity incident at a key supplier could materially impact product availability.",Risk Factors,12,245,2024-11-02 06:00:00
SF-002,AAPL,Apple Inc.,10-K,2024-11-01,2024-09-28,Apple Inc. Annual Report 2024 - MD&A,"The company achieved record revenue of 383 billion for fiscal 2024 driven by innovation across our product portfolio and strong growth in Services. Gross margin expanded 130 basis points reflecting favorable product mix and operational efficiency improvements. Our investment in AI through Apple Intelligence positions us for continued innovation and market leadership.",MD&A,18,380,2024-11-02 06:00:00
SF-003,AAPL,Apple Inc.,10-Q,2025-01-30,2024-12-28,Apple Inc. Q1 2025 Quarterly Report - Risk Factors,"Competition in the smartphone and wearable markets continues to intensify particularly in emerging markets where local manufacturers are gaining market share. Regulatory actions related to app store policies and data privacy could require significant changes to our business model in key markets.",Risk Factors,8,168,2025-01-31 06:00:00
SF-004,MSFT,Microsoft Corp.,10-K,2024-10-24,2024-06-30,Microsoft Corp. Annual Report 2024 - Risk Factors,"We face cybersecurity threats that could lead to data breaches affecting our cloud services and enterprise customers. Ongoing litigation includes government investigations into competitive practices in cloud computing. Rapid technological change requires continuous innovation investment and any failure to maintain our competitive position could adversely affect results.",Risk Factors,15,312,2024-10-25 06:00:00
SF-005,MSFT,Microsoft Corp.,10-K,2024-10-24,2024-06-30,Microsoft Corp. Annual Report 2024 - MD&A,"Cloud revenue grew to 102 billion driven by Azure growth of 29 percent. Our AI strategy is creating significant new revenue streams with Copilot products generating substantial enterprise demand. Operating income grew 22 percent reflecting the leverage in our cloud infrastructure and the margin benefit of our subscription business model.",MD&A,20,420,2024-10-25 06:00:00
SF-006,MSFT,Microsoft Corp.,10-Q,2025-01-29,2024-12-31,Microsoft Corp. Q2 2025 Quarterly Report - Cybersecurity,"We identified and mitigated several advanced persistent threat campaigns targeting our cloud infrastructure during the quarter. Our investment in cybersecurity now exceeds 5 billion annually. We continue to enhance our security offerings with AI-powered threat detection. A data breach at one of our third-party service providers was contained without impact to customer data.",Cybersecurity,10,205,2025-01-30 06:00:00
SF-007,GOOGL,Alphabet Inc.,10-K,2024-12-10,2024-12-31,Alphabet Inc. Annual Report 2024 - Risk Factors,"Antitrust litigation in multiple jurisdictions poses substantial risk of regulatory penalties and required business model changes. Competition in AI and cloud computing requires sustained investment that may not generate adequate returns. Privacy regulations globally could limit our advertising targeting capabilities and reduce revenue growth.",Risk Factors,14,290,2024-12-11 06:00:00
SF-008,GOOGL,Alphabet Inc.,10-K,2024-12-10,2024-12-31,Alphabet Inc. Annual Report 2024 - MD&A,"Total revenue grew 15 percent to 350 billion with cloud revenue surpassing 48 billion for the full year. Our Gemini AI models are driving innovation across Search YouTube and Cloud products. The company is seeing strong growth in enterprise adoption of our AI platform with over 2 million developers building on our tools.",MD&A,22,455,2024-12-11 06:00:00
SF-009,GOOGL,Alphabet Inc.,10-Q,2025-04-29,2025-03-31,Alphabet Inc. Q1 2025 Quarterly Report - Competition,"Competition in generative AI is intensifying with significant investment from both established technology companies and well-funded startups. Our search business faces increased competition from AI-powered alternatives. We are investing aggressively in AI innovation and cloud infrastructure to maintain our competitive position in the market.",Competition,9,188,2025-04-30 06:00:00
SF-010,AMZN,Amazon.com Inc.,10-K,2025-02-07,2024-12-31,Amazon.com Inc. Annual Report 2024 - Risk Factors,"Supply chain disruption from global logistics challenges and trade policy uncertainty could increase costs significantly. Litigation includes ongoing antitrust cases in the United States and European Union. Data breach risks to our massive customer information database remain a significant concern requiring continuous investment in cybersecurity infrastructure.",Risk Factors,16,335,2025-02-08 06:00:00
SF-011,AMZN,Amazon.com Inc.,10-K,2025-02-07,2024-12-31,Amazon.com Inc. Annual Report 2024 - MD&A,"AWS revenue grew 19 percent to 107 billion with AI services driving accelerating demand. Our retail operating margins expanded significantly driven by regionalization and AI-powered logistics optimization. Free cash flow increased to 52 billion reflecting the operational leverage in our business model and innovation in cloud efficiency.",MD&A,25,510,2025-02-08 06:00:00
