call_id,ticker,company_name,call_date,call_type,quarter,fiscal_year,speaker_name,speaker_role,transcript_text,confidence_score,_loaded_at
EC-001,AAPL,Apple Inc.,2024-10-31,Earnings Call,4,2024,Tim Cook,CEO,We delivered record revenue of 94.9 billion driven by strong growth in our Products and Services segments. Our installed base of active devices reached an all-time high and customer satisfaction remains unmatched across the industry. We are extremely optimistic about our product pipeline and the future of AI at Apple with Apple Intelligence coming to our users.,0.95,2024-11-01 08:00:00
EC-002,AAPL,Apple Inc.,2024-10-31,Earnings Call,4,2024,Luca Maestri,CFO,Gross margin expanded 150 basis points year over year driven by favorable product mix and leverage in our Services business. Our free cash flow generation was exceptional at 26.4 billion this quarter supporting our capital return program. We remain committed to returning value to shareholders while investing in innovation.,0.93,2024-11-01 08:00:00
EC-003,MSFT,Microsoft Corp.,2024-10-22,Earnings Call,1,2025,Satya Nadella,CEO,We continue to see strong growth across our cloud services with Azure revenue up 29 percent year over year. Our AI strategy is accelerating with Copilot now embedded across our product portfolio. We exceeded expectations in every segment and the demand for our AI infrastructure is unprecedented.,0.97,2024-10-23 08:00:00
EC-004,MSFT,Microsoft Corp.,2024-10-22,Earnings Call,1,2025,Amy Hood,CFO,Intelligent Cloud revenue grew 20 percent with Azure growth of 29 percent. We expect continued double-digit growth in the cloud segment driven by AI workloads and our expanding customer base. Operating margins improved driven by scale benefits in our cloud infrastructure.,0.94,2024-10-23 08:00:00
EC-005,GOOGL,Alphabet Inc.,2024-10-29,Earnings Call,3,2024,Sundar Pichai,CEO,Our cloud business crossed 12 billion in quarterly revenue for the first time demonstrating the strength of our AI strategy. We are seeing strong growth across Search YouTube and Cloud with Gemini driving innovation across all our products. The outlook positive for the holiday season and beyond.,0.91,2024-10-30 08:00:00
EC-006,GOOGL,Alphabet Inc.,2024-10-29,Earnings Call,3,2024,Anat Ashkenazi,CFO,Revenue growth of 15 percent year over year reflects strength across all major platforms. Cloud margins continue to improve as we scale our infrastructure more efficiently. We are investing aggressively in AI compute capacity while maintaining discipline on operating expenses.,0.90,2024-10-30 08:00:00
EC-007,AMZN,Amazon.com Inc.,2024-10-31,Earnings Call,3,2024,Andy Jassy,CEO,AWS growth reaccelerated to 19 percent year over year as customers increasingly adopt generative AI. Our retail business delivered strong results with North America operating margins expanding significantly. We are seeing record revenue in our advertising business which continues to grow at an exceptional pace.,0.93,2024-11-01 08:00:00
EC-008,NVDA,NVIDIA Corp.,2024-11-20,Earnings Call,3,2025,Jensen Huang,CEO,Demand for our Hopper and Blackwell architecture GPUs continues to exceed supply by a significant margin. We see strong growth in data center revenue driven by AI training and inference workloads across every industry. The AI revolution is well underway and NVIDIA is at the center of this transformation with record revenue expectations.,0.98,2024-11-21 08:00:00
EC-009,NVDA,NVIDIA Corp.,2024-11-20,Earnings Call,3,2025,Colette Kress,CFO,Data center revenue grew 279 percent year over year reaching 35.6 billion. Gross margins expanded to 74.6 percent reflecting the benefit of our software stack and product mix. We expect supply constraints to ease in the second half of next year as our manufacturing capacity ramps.,0.96,2024-11-21 08:00:00
EC-010,META,Meta Platforms Inc.,2024-10-30,Earnings Call,3,2024,Mark Zuckerberg,CEO,Our AI investments are driving significant improvements across our products and advertising platform. Reality Labs is making progress with our Ray-Ban Meta smart glasses exceeding expectations. We are seeing strong growth in engagement and monetization across Facebook Instagram and WhatsApp.,0.89,2024-10-31 08:00:00
EC-011,TSLA,Tesla Inc.,2024-10-23,Earnings Call,3,2024,Elon Musk,CEO,We face significant headwinds in the automotive market with increased competition from Chinese EV manufacturers. Our energy storage business is growing rapidly with record deployments this quarter. We are navigating a challenging environment while accelerating our autonomous driving and robotics initiatives for long-term growth.,0.82,2024-10-24 08:00:00
EC-012,TSLA,Tesla Inc.,2024-10-23,Earnings Call,3,2024,Vaibhav Taneja,CFO,Automotive gross margin came in at 16.3 percent as price adjustments continue to impact profitability. We are focused on cost reduction through manufacturing efficiency improvements. Free cash flow remained positive and our balance sheet remains strong despite near-term margin pressure.,0.85,2024-10-24 08:00:00
EC-013,AAPL,Apple Inc.,2025-01-30,Earnings Call,1,2025,Tim Cook,CEO,The iPhone 16 launch exceeded our expectations with strong demand particularly for Pro models. Our Services business continues to set quarterly records with double-digit growth. Apple Intelligence is transforming the user experience and we are just getting started with this vision of personal intelligence.,0.94,2025-01-31 08:00:00
EC-014,MSFT,Microsoft Corp.,2025-01-29,Earnings Call,2,2025,Satya Nadella,CEO,Azure growth accelerated to 33 percent with AI services contributing 13 points of growth. Copilot adoption is exceeding our expectations with over 60 percent of Fortune 500 companies using it. We are seeing unprecedented demand for our AI platform and the feedback from developers is remarkable.,0.96,2025-01-30 08:00:00
EC-015,GOOGL,Alphabet Inc.,2025-02-04,Earnings Call,4,2024,Sundar Pichai,CEO,Our Gemini model family continues to lead in AI benchmarks and is being adopted by millions of users. Cloud revenue exceeded 12 billion again this quarter with AI driving a significant acceleration. YouTube Shorts monetization improved substantially and we see strong growth in our subscription services.,0.90,2025-02-05 08:00:00
EC-016,AMZN,Amazon.com Inc.,2025-02-06,Earnings Call,4,2024,Andy Jassy,CEO,AWS achieved 19 percent growth with AI services alone growing at triple digits year over year. Our regionalization efforts in the retail business are showing measurable improvements in delivery speed and cost structure. The advertising business continues to be a high-margin growth engine generating record revenue.,0.92,2025-02-07 08:00:00
EC-017,NVDA,NVIDIA Corp.,2025-02-26,Earnings Call,4,2025,Jensen Huang,CEO,Blackwell production is in full swing and customer demand remains extraordinary. We are seeing the broadest adoption of our AI platform in history across enterprises cloud providers and sovereign AI initiatives. The next wave of AI applications in robotics and autonomous systems represents a massive growth opportunity ahead.,0.97,2025-02-27 08:00:00
EC-018,META,Meta Platforms Inc.,2025-01-29,Earnings Call,4,2024,Mark Zuckerberg,CEO,Our ad revenue growth accelerated to 21 percent driven by AI-powered ad targeting improvements. Threads continues to grow with over 300 million monthly active users. We expect significant AI efficiency gains this year that will improve our cost structure meaningfully while enhancing product quality.,0.91,2025-01-30 08:00:00
